max_score	lower_diff_matches	cum_lower_diff_matches	rel_cum_lower_matches	total_matches
56	162475	458714757585	0.999994720326361	458717179462
56.5	172456	458698698879	0.999995096105625	458700948300
57	137202	458698822979	0.999995395215405	458700935198
57.5	172619	458698995598	0.999995771536853	458700935198
58	112979	458682887699	0.99999601769812	458684714320
58.5	105496	458571362550	0.999996246781459	458573083675
59	123460	458516113371	0.999996515587159	458517711036
59.5	116613	458516223360	0.999996769913166	458517704412
60	88015	458507444993	0.999996961809927	458508838030
60.5	85502	457361020123	0.999997141139703	457362327658
61	87224	457361107347	0.999997331850644	457362327658
61.5	107317	457361214664	0.999997566493931	457362327658
62	75135	457145168211	0.999997729700069	457146206070
62.5	69823	457140385079	0.999997882414283	457141353115
63	61256	456735271584	0.999998014652565	456736178364
63.5	69219	456735340803	0.99999816620395	456736178364
64	53521	456735394324	0.999998283385383	456736178364
64.5	60201	456508837747	0.99999841440561	456509561586
65	49520	453373314320	0.999998512665003	453373988639
65.5	52006	452304177446	0.999998624129126	452304799759
66	46750	452003223437	0.999998726641233	452003799000
66.5	34105	452000624359	0.999998802087161	452001165817
67	31678	452000656037	0.999998872171051	452001165817
67.5	38240	452000526386	0.999998956772215	452000997926
68	25984	442453597830	0.9999989929892	442454043386
68.5	24838	442453622668	0.999999049126104	442454043386
69	22709	442402238556	0.999999100346682	442402636565
69.5	21430	440023063018	0.999999144184227	440023439597
70	22360	439684059965	0.999999194378994	439684414184
70.5	20804	439654244526	0.999999241643288	439654577941
71	19317	430517193163	0.999999270417591	430517507261
71.5	21801	430517214964	0.999999321056647	430517507261
72	16763	430515548190	0.999999359991004	430515823724
72.5	18325	429837647183	0.999999401613963	429837904392
73	12786	429659468869	0.999999431124231	429659713292
73.5	13522	427775238115	0.999999460228515	427775469016
74	12310	427775250425	0.999999489005294	427775469016
74.5	11018	427775261443	0.999999514761797	427775469016
75	9139	426907795376	0.999999535183218	426907993810
75.5	8663	426757172211	0.999999555318743	426757361982
76	7878	425860047454	0.999999572880989	425860229347
76.5	8499	425860055953	0.999999592838241	425860229347
77	7040	421223268202	0.999999605069456	421223434556
77.5	7867	420515581643	0.9999996231128	420515740130
78	7182	409032035696	0.999999630090235	409032187001
78.5	8191	408540155564	0.999999649694289	408540298678
79	6969	408500988336	0.999999666720624	408501124481
79.5	7861	408500996197	0.999999685964145	408501124481
80	7115	408168127252	0.999999703139574	408168248421
80.5	6048	407608400993	0.999999717569689	407608516114
81	6468	406407582866	0.999999732650237	406407691519
81.5	4975	406407587841	0.999999744891639	406407691519
82	4537	406407592378	0.999999756055306	406407691519
82.5	4346	399444112854	0.999999762682752	399444207649
83	3617	397432732926	0.999999770582613	397432824104
83.5	3867	397243034464	0.999999780207648	397243121775
84	3820	397010429704	0.999999789700783	397010513195
84.5	4156	397010433860	0.99999980016902	397010513195
85	5137	397010438997	0.999999813108224	397010513195
85.5	3931	396750631589	0.999999822893823	396750701856
86	5938	396750579262	0.999999837860376	396750643591
86.5	4201	396750583463	0.999999848448891	396750643591
87	6277	396750589740	0.999999864269911	396750643591
87.5	4241	396750593981	0.999999874959245	396750643591
88	4810	396750598791	0.999999887082729	396750643591
88.5	4070	396750602861	0.999999897341061	396750643591
89	2628	396750605489	0.999999903964869	396750643591
89.5	2753	396364275158	0.999999910816895	396364310507
90	1954	396364277112	0.999999915746703	396364310507
90.5	1575	383594565585	0.999999917047841	383594597405
91	1613	383594567198	0.999999921252801	383594597405
91.5	1592	342674155467	0.999999916495023	342674184082
92	1570	325843337371	0.999999916999998	325843364416
92.5	1674	325843339045	0.999999922137435	325843364416
